"sort_date","deadline","programme","country","what_must_be_ready_by_then_and_lead_time","fixed_or_rolling","date_retrieved"
"2026-10-17","17 Oct 2026 20:00 ET (institutional ~1-5 Oct)","Canada Graduate Research Scholarship - Doctoral","Canada","NOT usable until registered at a Canadian institution -> first realistic round Oct 2027 (institutional deadline early Oct 2027).","fixed annual","2026-09-07"
"2026-10-31","1-31 Oct 2026 (portal window)","Friedrich-Naumann-Stiftung Promotionsstipendium","Germany","Doctoral admission, supervisor, exposé, evidence of liberal/civic engagement. 6-8 weeks prep. Next window Apr 2027.","fixed (Apr / Oct)","2026-09-07"
"2026-10-31","31 Oct 2026","University of Waikato Doctoral Scholarship","New Zealand","Offer of Place must ALREADY be in hand (apply to enrol 4-6 months earlier); confirmed chief supervisor + thesis title; four written statements incl. Te Tiriti/Mātauranga Māori; IELTS/TOEFL. Only two attempts ever.","fixed (Jan/Apr/Jul/Oct)","2026-09-07"
"2026-11-01","1 Nov 2026","University of Auckland Doctoral Scholarship (round 1 of 4)","New Zealand","Complete PhD admission application (supervisor at Institute of Marine Science / School of Environment, proposal, transcripts, referees) + IELTS 6.5/TOEFL 90 result; apply as NEW applicant (not transfer) and get that confirmed in writing. Start supervisor contact ~3 months before. Next: 1 Feb 2027.","fixed (Nov/Feb/May/Aug)","2026-09-07"
"2026-11-01","1 Nov 2026 4.30 pm","Wellington Doctoral Scholarship (VUW)","New Zealand","Part of PhD admission application; supervisor in SGEES/Antarctic Research Centre; references must have ARRIVED; IELTS/TOEFL (no waiver). Next: 1 Mar 2027.","fixed (Mar/Jul/Nov)","2026-09-07"
"2026-11-01","1 Nov 2026","University of Otago Doctoral Scholarship (November round)","New Zealand","PhD admission application in eVision with completed departmental assessment by the 1st of the round month; supervisor in Marine Science/Geology; IELTS/TOEFL. Next round 1 Mar 2027.","rolling, assessed quarterly","2026-09-07"
"2026-11-01","1 Nov 2026 (registration)","Cusanuswerk Verfahren I-2027 (Catholic applicants only)","Germany","Church membership evidence, doctoral admission (domestic or foreign), references, exposé. Decision Mar 2027. Next: 1 Jun 2027.","fixed (Nov / Jun)","2026-09-07"
"2026-11-03","~early Nov 2026 (previous cycle 3 Nov 2025)","Imperial College President's PhD Scholarships - round 1","UK","Imperial supervisor agreed + admissions application submitted + funding box ticked; IELTS/TOEFL; supervisor conversation in Sep/Oct 2026. Later rounds ~Jan and ~Mar 2027.","not published yet (indicative)","2026-09-07"
"2026-11-16","1 Oct - 16 Nov 2026 (window)","DAAD Forschungsstipendien für Doktoranden (research stay abroad)","Germany","Requires being a doctoral candidate at a German university + host invitation abroad -> not usable this cycle; note 3-year Promotionsbeginn cap ambiguity (ask DAAD in writing).","fixed windows (Nov / Mar / Jun)","2026-09-07"
"2026-12-01","1 Dec 2026 23:59 ET","MIT-WHOI Joint Program PhD (Fall 2027)","USA","TOEFL 100 / IELTS 7.0 sat >=2 weeks before deadline (book by mid-Oct); 3 referees; statement of objectives; transcripts from Kocaeli, Bochum (2011 + 2016-18), Bremen; adviser contact from Sept.","fixed annual","2026-09-07"
"2026-12-01","1 Dec 2026 midnight PT","University of Washington School of Oceanography PhD","USA","Official TOEFL/IELTS received by 1 Dec (code 4854); references; transcripts; adviser contact.","fixed annual","2026-09-07"
"2026-12-01","1 Dec 2026 (recruitment-weekend cut-off; final 8 Jan 2027)","University of Miami Rosenstiel PhD","USA","TOEFL 80 / IELTS 6.5 (cannot be waived); RA funding depends on a PI with a grant - contact faculty first; USD 85 fee.","fixed annual","2026-09-07"
"2026-12-01","~Dec 2026 (previous cycle 1 Dec 2025 indicative)","Villigst (Evangelisches Studienwerk) Promotionsstipendium","Germany","Doctoral admission (German or EU/UK/NO/CH university), supervisor, exposé, references; motivation letter if not Protestant; must be <1 year into the project. Deadline 1 Dec 2026 per FAQ.","fixed (1 Jun / 1 Dec)","2026-09-07"
"2026-12-02","2 Dec 2026","Scripps Institution of Oceanography PhD (Fall 2027)","USA","English test taken by November; adviser contact; 3 referees; no GRE; full application fee.","fixed annual","2026-09-07"
"2026-12-02","2 Dec 2026 16:00 EST (institutional pre-selection Sep-Nov 2026)","Québec PBEEE V1 doctoral (FRQ)","Canada","A Québec university (Laval / UQAR-ISMER) must PRE-SELECT him this autumn -> supervisor contact immediately; transcripts, CV, proposal. Otherwise Dec 2027.","fixed annual","2026-09-07"
"2026-12-08","8 Dec 2026 OR 6 Jan 2027 (course-dependent)","Cambridge: CREATES NERC DLA + Gates Cambridge + Harding Scholars (one application)","UK","Full Cambridge graduate application: supervisor, research proposal, 3 references, college preference, Gates/Harding statements, IELTS/TOEFL. Start Sep/Oct 2026.","fixed annual","2026-09-07"
"2026-12-14","~mid-Dec 2026 (previous cycle 14 Dec 2025 indicative)","E5 DTP Edinburgh (NERC)","UK","International applicants must be PRE-NOMINATED by prospective supervisor weeks before; IELTS 6.5 / TOEFL 92 / CAE 176 (<=2 years old); references.","not published yet (indicative)","2026-09-07"
"2026-12-15","15 Dec 2026","Oregon State CEOAS PhD; Penn State Geosciences PhD; Caltech GPS PhD","USA","OSU/Penn State: TOEFL 80 / IELTS 6.5 + mentor agreement (OSU) - TOEFL must be RECEIVED for Penn State. Caltech: NO English test but GRE General required (scores by 15 Jan 2027); one option only; adviser contact.","fixed annual","2026-09-07"
"2026-12-17","~17 Dec 2026 (previous cycle 17 Dec 2025 indicative)","TREES DLA (UCL-led NERC)","UK","Project selection + supervisor contact in Nov; IELTS 7.0 (6.5 each); poor marine fit.","not published yet (indicative)","2026-09-07"
"2026-12-18","18 Dec 2026","University of Sydney RTP Stipend (international) + RTP Fee Offset (RP3-4 2027 start)","Australia","HDR admission application (supervisor identified) + separate scholarship form by the deadline; English evidence; outcomes from 2 Mar 2027. Highest stipend in Australia (AUD 44,293, 2027) with OSHC on the RTP route.","fixed (Sep / Dec rounds)","2026-09-07"
"2026-12-31","31 Dec (previous cycle 2025 indicative)","ECORD Research Grants (top-up, needs enrolment)","International","Must already be a PhD student; 5-page mini-proposal + supervisor letter.","annual (indicative)","2026-09-07"
"2027-01-01","1 Jan 2027","Rutgers GPO PhD; Texas A&M Oceanography PhD; URI-GSO PhD (internal fellowships)","USA","TOEFL/IELTS (URI accepts CEFR B2 - confirm UNIcert III in writing); URI needs a named faculty sponsor BEFORE acceptance; TAMU IELTS 6.0; Rutgers minima unverified.","fixed / encouraged","2026-09-07"
"2027-01-05","5 Jan 2027 12:00 GMT","IAPETUS DLA (Durham-led NERC)","UK","Named project (online 6 Nov 2026) + supervisor contact; written answer on the international fee gap; IELTS/TOEFL; references.","fixed annual","2026-09-07"
"2027-01-07","7 Jan 2027 17:00 UK","ACCE+ DLA (Liverpool/Sheffield/York + NOC)","UK","Host-institution application + ACCE+ personal-statement proforma; 2 referees (1 academic); IELTS/TOEFL; check the department accepts international candidates; opens late Oct 2026.","fixed annual","2026-09-07"
"2027-01-07","~7-8 Jan 2027 (previous cycle indicative)","GW4+ DLTP; ARIES; YES-DTN (NERC)","UK","Named project + supervisor contact (projects advertised from Oct/Nov); IELTS/TOEFL; references. GW4+ Bristol OGU = field-2 target.","not published yet (indicative)","2026-09-07"
"2027-01-08","8 Jan 2027","IGNITE DLA (Southampton/NOC/BAS/MBA)","UK","Named project (FindAPhD mid-Nov 2026) + supervisor contact; IELTS 6.5 / TOEFL 92; references; ask how the international fee gap is covered (Presidential Bursary).","fixed annual","2026-09-07"
"2027-01-15","15 Jan 2027 12:00 CET","Konrad-Adenauer-Stiftung Promotionsförderung","Germany","Doctoral admission at a German (or EU/UK/CH) university; 2 references <6 months old incl. supervisor; 3-5 page narrative CV in German; Abitur certificate; evidence of civic engagement. ~3 months lead. Next: 15 Jul 2027.","fixed (Jan / Jul)","2026-09-07"
"2027-01-15","15 Dec 2026 - 15 Jan 2027 (window)","Hanns-Seidel-Stiftung Promotionsförderung","Germany","Doctoral admission, supervisor, exposé, evidence of political/church/social engagement; be ready to state whether 2016-18 was publicly funded. Next: 15 Jun - 15 Jul 2027.","fixed (Jan / Jul)","2026-09-07"
"2027-01-15","15 Jan 2027","UBC PhD Oceanography (Sept 2027 entry) - triggers 4YF nomination","Canada","IELTS 6.5 (6.0 each) / TOEFL 90-100 within 24 months (book by Nov); 3 references; statement; named EOAS supervisor; transcripts from ALL institutions.","fixed annual","2026-09-07"
"2027-01-19","~mid/late Jan 2027 (previous cycle 19 Jan 2026 indicative)","University of Bristol PGR Scholarships (Science & Engineering)","UK","Supervisor + project agreed (Organic Geochemistry Unit); IELTS profile; references.","not published yet (indicative)","2026-09-07"
"2027-01-22","~late Jan / early Feb 2027 (previous cycle 22 Jan + 2 Feb 2026 indicative)","Edinburgh Doctoral College Scholarships","UK","Programme application FIRST, then scholarship portal; supervisor agreement; IELTS/TOEFL. 2027/28 funding 'yet to be confirmed'.","not published yet (indicative)","2026-09-07"
"2027-02-01","1 Feb 2027","URI Graduate School international applicant deadline (fall)","USA","See 1 Jan row; visa timing.","fixed annual","2026-09-07"
"2027-02-01","1 Feb 2027","University of Auckland Doctoral Scholarship (round 2)","New Zealand","As 1 Nov 2026 row.","fixed","2026-09-07"
"2027-02-01","1 Feb 2027","JCU IRTP / AIMS@JCU Scholarship (July 2027 start)","Australia","JCU online application (advisers notified to endorse) + AIMS@JCU form + AIMS co-supervisor; ELR Band 2 English; outcomes 3 May 2027.","fixed (Feb / Sep)","2026-09-07"
"2027-02-14","1-14 Feb 2027 (call window)","Studienstiftung Promotionsförderung (second chance)","Germany","As Oct 2026 row.","fixed calls","2026-09-07"
"2027-02-28","28 Feb 2027 (portal opens after 1 Dec 2026)","IMPRS MarMic Bremen - direct PhD entry","Germany","CV; 1-2 page motivation letter; transcripts; diplomas; 2 reference letters <6 months old; passport photo; English C1 proof - University of Bremen list ACCEPTS UNIcert III (no IELTS needed). Interviews in Bremen in May 2027.","fixed annual (late applications accepted)","2026-09-07"
"2027-03-01","15 Jan - 1 Mar 2027 (window)","Heinrich-Böll-Stiftung Promotionsstipendium","Germany","Doctoral admission (Germany or EU with justification); first preliminary work done; exposé + 36-month plan; 2 professorial references incl. supervisor; then interview + selection workshop. ~3 months lead. Next: 1 Sep 2027.","fixed (1 Mar / 1 Sep)","2026-09-07"
"2027-03-01","1 Mar 2027","Wellington Doctoral Scholarship (VUW) round; Otago March round","New Zealand","As Nov 2026 rows.","fixed / quarterly","2026-09-07"
"2027-03-02","~2 Mar 2027 (previous cycle 2 Mar 2026 indicative) - PROBABLY INELIGIBLE","FWO PhD Fellowship (Flanders)","Belgium","Flemish ZAP supervisor + full proposal; internal deadline weeks earlier; FIRST get a written ruling on the 18-month seniority and 3-year post-master's caps.","annual (indicative)","2026-09-07"
"2027-03-31","~2-31 Mar 2027 (previous cycle indicative)","FCT PhD Studentships, Regular Line","Portugal","Portuguese host + supervisor + work plan (2-3 months). EU citizens expressly eligible. Low stipend.","annual (indicative)","2026-09-07"
"2027-04-01","1 Apr 2027","Dalhousie FGS deadline for non-Canadian applicants (Fall 2027) - Oceanography may be earlier; Killam L2 via department","Canada","IELTS 7.0 / TOEFL 92; supervisor with grant funding (Dal funds mainly from supervisors' grants); ask oceansec@dal.ca about Killam/Research Excellence timing.","fixed annual","2026-09-07"
"2027-04-15","15 Apr 2027","ANU RTP Stipend Round 2 (start by end Aug 2027)","Australia","Complete application incl. referee reports (submit 2-3 weeks early); supervisor/HDR convener contact; H1-equivalent record; IELTS/TOEFL. Then 31 Aug 2027 for 2028 start.","fixed annual","2026-09-07"
"2027-04-16","16 Apr 2027","UNSW international scholarship round (RTPI/UIPA/TFS) for Term 1 2028","Australia","Admission application selecting the round; English evidence before the scholarship deadline; faculty EOI/supervisor contact.","fixed annual","2026-09-07"
"2027-04-30","1-30 Apr 2027 (window)","Friedrich-Naumann-Stiftung (second window)","Germany","As Oct 2026 row.","fixed","2026-09-07"
"2027-05-15","~mid-May 2027 (previous cycle 15 May 2026 indicative)","University of Canterbury UC Doctoral Scholarship (May round)","New Zealand","As Oct 2026 row.","fixed (May / Oct)","2026-09-07"
"2027-06-01","1 Jun 2027","Cusanuswerk Verfahren II-2027; Villigst (1 Jun)","Germany","As earlier rows.","fixed","2026-09-07"
"2027-06-14","1-14 Jun 2027 (call window)","Studienstiftung Promotionsförderung (third window)","Germany","As Oct 2026 row.","fixed calls","2026-09-07"
"2027-07-14","~mid-Jul 2027 (ROSES-25 was 14 Jul 2026; ROSES-26 date not published)","NASA FINESST (F.5)","USA","Must already be applying to / enrolled at a US university; US adviser as PI submits; student is primary author.","not published yet (indicative)","2026-09-07"
"2027-07-15","15 Jul 2027 12:00 CET","Konrad-Adenauer-Stiftung (second deadline); Hanns-Seidel (15 Jun - 15 Jul window)","Germany","As Jan 2027 rows.","fixed","2026-09-07"
"2027-07-23","~late Jul 2027 (previous cycle 23 Jul 2026 indicative)","QUARTILES DLA (Aberdeen/QUB) for Oct 2027 entry","UK","Named FindAPhD project; international quota 5/19 fills fast - apply the day it opens; IELTS/TOEFL.","not published yet (indicative)","2026-09-07"
"2027-07-31","1-31 Jul 2027 (EOI window)","Curtin RTP Scholarship - WA-Organic and Isotope Geochemistry Centre","Australia","EOI to a named Curtin supervisor within the window -> Invitation to Apply by end Aug -> outcomes Nov 2027 -> enrol by 31 Mar 2028. One shortlisting only. IELTS 6.5. Identify the WA-OIGC supervisor months ahead (centre web pages do not resolve).","fixed annual","2026-09-07"
"2027-08-31","~Aug-Sep 2027 (2027 round was 1 Aug - 15 Sep 2026)","UWA 2028 International RTP Stipend and Tuition Fee Scholarships","Australia","As 15 Sep 2026 row; secured supervision + English evidence at submission.","not published yet (indicative)","2026-09-07"
"2027-08-31","31 Aug 2027","ANU RTP Round 1 international (2028 start)","Australia","As 15 Apr 2027 row.","fixed annual","2026-09-07"
"2027-09-01","1 Sep 2027","Heinrich-Böll-Stiftung (second deadline); Texas A&M spring-entry deadline","Germany / USA","As earlier rows.","fixed","2026-09-07"
"2027-09-01","1 Sep 2027","JCU IRTP / AIMS@JCU (Mar 2028 start)","Australia","As 1 Feb 2027 row.","fixed","2026-09-07"
"2027-09-07","~7 Sep 2027 (previous cycle 7 Sep 2026 indicative)","University of Helsinki university-funded doctoral researcher positions","Finland","Supervisor + research plan + doctoral-programme admission (3+ months lead).","annual (indicative)","2026-09-07"
"","Rolling","MSCA Doctoral Network posts (hosts outside Germany); ERC team PhD posts; German institute posts (AWI/GEOMAR/Hereon/MPI); DFG GRK posts; NL/NO/DK/SE/CH/AT/FR salaried PhD vacancies","EU","Apply to advertised vacancies: CV, motivation, transcripts, referees. No proposal, no scholarship round, no IELTS (check each advert; UiB may ask). Check MSCA mobility rule per host country. Monitor AcademicTransfer, Jobbnorge, EURAXESS (filters client-side), institute job pages.","rolling","2026-09-07"
"","Rolling / not published","French contrat doctoral (ED concours ~May-Jul 2027); Research Ireland GOIPG (2027 call uncertain); Spain FPI (AEI site down); Italy borse (per bando); Canada Impact+ (2027 intake unconfirmed); Link Foundation; Schlanger; Antarctic Science Bursary (Jan-Mar)","various","Supervisor first in every case; verify each call directly - dates not published as of 2026-09-07.","not published yet","2026-09-07"
"","Not published centrally (course-page dates)","University of Melbourne RTP Scholarship (Stipend and Fee Offset)","Australia","Admission application to the relevant School course page with supervisor support, proposal, referees, IELTS/TOEFL; automatic scholarship consideration.","rolling / course-dependent","2026-09-07"
