"programme","funding_body","country","application_url","status","type_label","citizenship_rule_verbatim","prior_doctoral_enrolment_rule_verbatim","age_or_time_since_degree_limit","money_what_is_covered_and_not","duration","deadline_and_round_status","portable_or_tied","field_fit_1to5","date_retrieved"
"IMPRS MarMic - International Max Planck Research School of Marine Microbiology (direct PhD entry for M.Sc. holders)","Max Planck Institute for Marine Microbiology / University of Bremen / Jacobs (Constructor) University / AWI","Germany","https://marmic.mpg.de/marmic2/application.php?section=who","ELIGIBLE (verified 2026-09-07 by the coordinator; MarMic site intermittently returns 503)","STUDENTSHIP (programme place; PhD funding from institute/project sources)","""The program is open for both domestic and foreign students."" Direct PhD entry: ""Exceptionally qualified students can begin research for their Ph. D. thesis immediately, provided they have a M.Sc. or a Diplom / Staatsexamen."" -> he need not do the MSc phase.","No clause found on the who/application/selection/finances pages.","None stated.","Finances page: ""Students who enter the PhD program after the first 1.5 years of intensive training receive funding (approximately 1400-1500 Euro per month) from one of a variety of sources, including individual fellowships, research grants, corporate and foundation funds, or University and departmental funds."" (Figure looks stale - MPG PhD contracts are normally TVöD-based; confirm the actual contract/stipend at interview.) Tuition waived; Bremen admin fee ""about 390 Euro per semester""; health insurance obligatory, paid by student. NOT covered: relocation.","PhD ~3 years after entry; ""The beginning of the Ph.D. program is flexible.""","""Applications for 2027 are accepted until February 28th, 2027"" (application page: ""preferred until February 28 each year, but also acceptable after the deadline""; portal opens after 1 Dec 2026). Interviews in Bremen in May; decisions after 30 June. Annual.","TIED (Bremen programme)","1, 3 (marine microbiology, biogeochemistry, geomicrobiology); 2 partly","2026-09-07"
"Doctoral positions at Helmholtz / Max Planck / Leibniz marine institutes (AWI incl. POLMAR; GEOMAR; Hereon; MPI Bremen)","The institutes (TV-L / TVöD contracts); POLMAR/ISOS are training schools, not funders","Germany","https://www.geomar.de/karriere-campus/karriere/stellenangebote","ELIGIBLE (as employee)","EMPLOYMENT (tied to advertised project)","No clause found on https://www.geomar.de/karriere-campus/campus/doktorandin or https://www.awi.de/arbeiten-lernen/graduate-school-polmar.html - German public research posts carry no nationality restriction.","No clause found. FLAG: the awarding university's Promotionsordnung governs re-admission after an abandoned doctorate; check with the target faculty's Promotionsausschuss. Also WissZeitVG fixed-term quota if the 2016-18 period was a paid academic post (not verified).","None for employment.","TV-L E13 typically 65-75% (Hereon: TVöD) - exact figures only in individual vacancy texts (not stated on pages opened). Full social security, pension, paid leave; no tuition (semester fee ~EUR 350). Genuinely fully funded. NOT covered: relocation.","Usually 3 years (sometimes 3+1)","Rolling per vacancy. Example on 2026-09-07: GEOMAR ""Doktorand:in (m/w/d) im Bereich Marine Data Science"", deadline 16 Sep 2026. AWI vacancies: https://www.awi.de/arbeiten-lernen/jobs/stellenangebote.html (listed, not opened).","TIED","1, 2, 3, 4","2026-09-07"
"Doctoral positions in DFG Graduiertenkollegs / Research Training Groups (GRK / IRTG)","Deutsche Forschungsgemeinschaft (DFG), via host university","Germany","https://www.dfg.de/en/research-funding/funding-opportunities/programmes/coordinated-programmes/research-training-groups","ELIGIBLE","EMPLOYMENT (tied)","No clause found on page - GRK posts are ordinary German university posts.","No clause found - the university Promotionsordnung governs.","None stated by DFG.","DFG funds ""Posts for doctoral researchers and postdocs"" - TV-L contracts (typically E13 65%); salary set by host collective agreement, not on DFG page. No tuition; full social security.","Groups funded up to 9 years; individual posts normally 3 years","Rolling per GRK cohort. 212 RTGs incl. 28 IRTGs funded as of 2 Jun 2026. The official list https://gepris.dfg.de/programmliste/?typ=GRK&lang=en renders via JavaScript and could not be read automatically - open in a browser to identify marine GRKs.","TIED","1-4 depending on GRK","2026-09-07"
"MSCA Doctoral Networks - doctoral candidate posts (hosts OUTSIDE Germany)","European Commission / REA (Horizon Europe MSCA), paid via recruiting host","EU + Associated Countries (NOT German-hosted nodes - see ineligible list)","https://euraxess.ec.europa.eu/jobs/search","ELIGIBLE for non-German hosts (EMPLOYMENT, not a scholarship - he applies to individual vacancies, not to the Commission)","EMPLOYMENT (tied to network project)","Work Programme 2026-27: ""Recruited researchers can be of any nationality and must comply with the following mobility rule: they must not have resided or carried out their main activity (work, studies, etc.) in the country of the recruiting beneficiary for more than 12 months in the 36 months immediately before their recruitment date.""","""Supported researchers must be doctoral candidates, i.e. not already in possession of a doctoral degree at the date of the recruitment."" Footnote: ""Researchers who have successfully defended their doctoral thesis but who have not yet formally been awarded the doctoral degree will not be considered eligible."" -> prior enrolment WITHOUT a degree is NOT an exclusion.","None (no age limit, no years-since-master's limit).","Unit rates per person-month: living allowance EUR 4,250 (gross, country-corrected; ""a gross amount, including compulsory deductions ... employer and employee social security contributions and direct taxes""), mobility EUR 710, family EUR 660 if applicable. Employment contract ""with full social security coverage"" is mandatory. Net take-home typically ~EUR 2,000-2,800/month depending on country and tax. Tuition where charged: from the host's research/training contribution - verify per vacancy. NOT covered: relocation (mobility allowance is meant for it).","Typically 36 months per doctoral candidate","Rolling per vacancy (network consortia call closes 24 Nov 2026 - that is for universities, not him). Filter EURAXESS by ""Horizon Europe - MSCA"" + R1/PhD. No IELTS/TOEFL normally required (check each advert).","TIED","1-5 depending on network","2026-09-07"
"PhD posts in ERC-funded teams (StG/CoG/AdG/SyG)","European Research Council grant held by the PI's host institution","EU + Associated Countries (incl. Germany - no mobility rule)","https://erc.europa.eu/manage-your-project/set-and-develop-your-team","ELIGIBLE","EMPLOYMENT (tied)","""ERC grantees can use their funding to recruit other researchers and team members for their project."" No citizenship/mobility/age rule for team members (no clause found on page).","No clause found on page; host institution's doctoral admission rules govern.","None.","Set by host national pay scale (Germany TV-L E13 65-100%; NL CAO-NU etc.). Not fixed by ERC. Verify per vacancy.","3-4 years, bounded by grant lifetime","Rolling; advertised on EURAXESS, institute job pages and PI group sites. No central ERC vacancy board.","TIED","1-5","2026-09-07"
"DAAD Forschungsstipendien für Doktorandinnen und Doktoranden (research stay abroad DURING a German doctorate)","DAAD","Any host country; requires doctorate registered in Germany","https://www2.daad.de/ausland/studieren/stipendium/de/70-stipendien-finden-und-bewerben/?detail=57556279","CONDITIONAL - add-on only; DAAD does NOT fund a full foreign PhD for a German national","SCHOLARSHIP (tied, mobility top-up)","""Sie können sich bewerben, wenn Sie an einer deutschen Hochschule (einschließlich HAW mit Promotionsrecht) promovieren."" ""Dieses Programm fördert Forschungsaufenthalte im Ausland während einer Promotion in Deutschland.""","""Der Beginn des Promotionsstudiums darf zum Bewerbungsschluss nicht länger als drei Jahre zurückliegen."" FLAG: time-since-Promotionsbeginn cap; read literally it refers to the current doctorate, but this is the one German wording that is genuinely ambiguous for a 2016-18 prior enrolment - ask DAAD in writing.","No age limit stated; 3-year Promotionsbeginn cap is the binding rule.","""eine monatliche, je nach Gastland festgelegte Stipendienrate"" - amount country-specific, not stated on page (not verified). Travel and insurance typically included (not stated on page opened).","""Mindestens 1 Monat bis maximal 12 Monate pro Förderung""; max 18 months total per doctorate","Windows: 1 Oct - 16 Nov 2026; 1 Feb - 15 Mar 2027 (2 May - 15 Jun 2026 closed). Recurring.","TIED (add-on to a German doctorate)","1-5","2026-09-07"
"Fulbright Doktorand:innenprogramm (4-6-month research stay in the USA)","Deutsch-Amerikanische Fulbright-Kommission","USA (requires current German doctoral enrolment)","https://fulbright.de/stipendien/programm/doktorandinnenprogramm","CONDITIONAL - only once enrolled in a German doctorate; research stay, not a PhD","SCHOLARSHIP (tied)","""Die Bewerber:innen benötigen die deutsche Staatsangehörigkeit""; must ""promovieren an einer Universität oder Fachhochschule mit Promotionsrecht""; preference for ""Lebens- und Forschungsmittelpunkt in Deutschland"".","No clause found. Current enrolment required; prior enrolment irrelevant.","No age limit found on pages opened.","""monatliche Unterhaltskostenpauschale von 2.400 Euro (für maximal sechs Monate)""; partner EUR 276, first child EUR 400, further EUR 100; fee-free J-1 visa; ASPE accident/sickness cover. (Older figure EUR 1,600 circulating is superseded by the page opened 2026-09-07.) NOT covered: salary/social security; US tuition n/a.","""vier- bis sechsmonatigen Forschungsstipendiums""; stay between 1 Aug 2027 and 31 May 2028","""Bitte bewerben Sie sich bis zum 7. Oktober 2026 (13:59 Uhr)"" for 2027-28 (previous cycle 5 Nov 2025). Annual. No TOEFL requirement stated on pages opened (absence of evidence - confirm).","TIED (add-on to a German doctorate)","1-5 (US organic-geochemistry/CSIA labs = strong field 2 fit)","2026-09-07"
"PhD candidate (promovendus) employment, CAO-NU scale P - e.g. Utrecht Earth Sciences, VU, NIOZ, Naturalis (three live vacancies verified)","Dutch universities / research institutes (CAO-NU / CAO-OI)","Netherlands","https://www.academictransfer.com/en/jobs/363282/phd-position-on-modelling-of-turbidity-current-fluxes-in-submarine-canyons/","ELIGIBLE (system); individual posts vary in field fit","EMPLOYMENT (tied to advertised post)","No clause found on any of the three vacancy pages or on the Leiden salary-scale page. EU citizen: no work permit needed.","No clause found on any page opened.","None.","Scale P (Leiden page, valid from 1 Jul 2025): P0 EUR 3,059 / P1 3,546 / P2 3,708 / P3 3,881 gross per month full-time, + 8% holiday allowance + 8.3% year-end bonus; pension; taxed. Live vacancies: Utrecht ""EUR 3.204 and EUR 4.051""; VU ""EUR 3.059 ... maximum EUR 3.881""; Naturalis ""EUR 3,463.00"". No tuition. NOT covered: Dutch health-insurance premium (~EUR 140-160/month, compulsory), relocation.","4 years (1-year contract + 3-year extension after go/no-go)","Per vacancy. Verified open on 2026-09-07: Utrecht turbidity-current PhD 2 Oct 2026 (field 4, modelling); VU MAGMAS 10 Sep 2026 (mantle geochemistry - poor fit); Naturalis North Sea foodwebs 28 Sep 2026 (ecosystem modelling). No IELTS/TOEFL named - ""good command of spoken and written English"". Search AcademicTransfer (server-side search works; EURAXESS filters do not).","TIED","1-4 depending on post; NIOZ/Utrecht/VU host organic geochemistry and marine biogeochemistry groups","2026-09-07"
"PhD Research Fellow (stipendiat, code 1017) - template: UiB Marine Biogeochemistry, Bjerknes Centre (round closed 4 Feb 2026)","University of Bergen / Norwegian universities and institutes","Norway","https://www.jobbnorge.no/en/available-jobs/joblisting/pdf/293286","ELIGIBLE (system); this exact post closed - monitor Jobbnorge for the next","EMPLOYMENT (tied)","No citizenship clause. Only: ""The University of Bergen is subject to the regulations for the export control system. The regulation will be applied in the processing of the applications.""","""The employment period may be reduced if you have previously been employed in a qualifying post (e.g., research fellow, research assistant)."" FLAG: bites only if the 2016-18 Bochum period was a salaried research post; disclose and clarify with HR.","None. ""The permitted timeframe is six years from acceptance into the PhD program until thesis submission"" (NTNU DION page).","""gross annual salary of NOK 568 700"" (UiB advert, code 1017) + Norwegian Public Service Pension Fund; taxed (~30-35%). No tuition. NTNU DION page shows NOK 430,500 - outdated; two sources disagree, trust the live advert. NOT covered: relocation.","3 years, or 4 with 25% teaching/dissemination duties","Rolling per vacancy on Jobbnorge (this post: 4 Feb 2026, closed). PhD-programme admission is applied for within 2 months of starting the job. English: ""approved documentation of proficiency in English (if required, cf. English language requirements for PhD admission)"" - check UiB rules; UNIcert III may or may not be accepted.","TIED","1 (exact fit: transient tracers, carbon, nutrients, oxygen); 2-4 also well represented in Norway","2026-09-07"
"PhD fellow employment (5+3 scheme), AC collective agreement - Aarhus / Copenhagen / DTU Aqua","Danish universities","Denmark","https://phd.arts.au.dk/applicants/scholarshipfellowshipsalary","ELIGIBLE","EMPLOYMENT (tied)","No citizenship clause. ""Non-Danish applicants must obtain a residence and work permit before employment can commence"" - not applicable to an EU citizen.","""It is normally a condition for employment that the person in question does not already have a PhD degree"" - about holding a PhD, not prior enrolment. No prior-enrolment clause found.","None found.","Salary sheet ""As of 1 August 2026"": seniority 1 = grade pay DKK 30,264.08 + pension DKK 5,468.75 + supplements DKK 1,580.92 = DKK 37,313.75/month (+ holiday pay DKK 4,010.88); seniority 3 DKK 40,091.92; seniority 4 DKK 42,625.59. Taxed (~37-42%). No tuition. TRAP: the 4+4 ""Part A"" route pays only ""2 SU vouchers = DKK 14,172 per month before tax"" and is a combined master's+PhD - avoid; enter via 5+3 with the completed M.Sc.","3 years","Per call; graduate schools run 1-2 fixed calls/year plus project ads. Next round not published on pages opened. Needs project description + named supervisor (2-3 months lead). DTU Aqua / Copenhagen not separately verified.","TIED","1-4","2026-09-07"
"Doctoral student employment (anställning som doktorand) - Stockholm University ladder (Gothenburg/Lund/Uppsala similar)","Swedish universities","Sweden","https://medarbetare.su.se/en/employment/my-employment/salary-and-compensation/salary-for-doctoral-students","ELIGIBLE","EMPLOYMENT (tied)","No clause found on page.","No clause found on page.","None on page.","From 1 Oct 2025: start SEK 31,600/month, 50% of degree SEK 33,300, 80% SEK 34,700. From 1 Oct 2026: SEK 32,900 / 34,000 / 35,000 (agreement signed 25 Nov 2025). Taxed; pension and social insurance included. No tuition. NOT covered: relocation. Low relative to Stockholm rents.","4 years net study time (often 5 calendar years with 20% duties)","Per advertised position (Swedish law requires public advertisement). Gothenburg marine sciences not separately verified.","TIED","1-4","2026-09-07"
"University-funded doctoral researcher positions, University of Helsinki","University of Helsinki","Finland","https://jobs.helsinki.fi/job/Helsinki-University-funded-doctoral-researcher-positions/1370097857/","ELIGIBLE (2026 call closed today)","EMPLOYMENT (tied)","No citizenship clause. Requirement: ""completed a degree entitling them to pursue doctoral studies (second-cycle higher education degree or equivalent)"".","No clause found on page.","None stated.","""The salary of a new doctoral researcher is typically between EUR 2,500 and EUR 2,800 per month."" Employment; taxed. No tuition. NOT covered: relocation.","""no more than four years""; six-month trial period","7 Sep 2026 (closed today). Annual; next round not published (previous cycle 7 Sep 2026, indicative). Needs supervisor + research plan + doctoral-programme admission (3+ months lead).","TIED","1-3 (Baltic-focused); Turku and Syke are the other marine hosts","2026-09-07"
"Doctoral assistant employment - EPFL (ETH Zurich rates not extractable)","EPFL / ETH Domain","Switzerland","https://www.epfl.ch/campus/services/human-resources/basic-starting-salary-of-doctoral-assistants-and-postdocs","ELIGIBLE","EMPLOYMENT (tied)","No clause found on page. EU citizens have free-movement access.","No clause found on page.","None on page.","EPFL ""Doctoral Assistants 2026 Gross Annual Salary (including the 13th salary month) 1st year 55,225"" CHF, +CHF 1,000/yr to CHF 58,225. Gross; Swiss social contributions, tax and compulsory health insurance (~CHF 300-450/month, individual) deducted. Nominal semester fee. ETH Zurich doctoral fixed rates: table renders as image - NOT VERIFIED (ETH Board 2026 PDF has no doctoral rates; Dec 2025 notice confirms a Jan 2026 rise, lowest tier +3%).","Typically 4 years","Per position / doctoral-school round. ETH Geological Institute (biogeoscience, organic geochemistry) is the Swiss field-2 match; EPFL has little marine work.","TIED","1, 2, 4 (ETH); EPFL weak","2026-09-07"
