"programme","funding_body","country","disqualifying_clause_verbatim","source_url","note","date_retrieved"
"Ford Foundation Fellowship Program","Ford Foundation / National Academies","USA","No live programme page exists: the National Academies URL 301-redirects to a page that ""does not list a Ford Foundation Fellowship Program""; Ford Foundation names only ""The Ford Global Fellowship and the Ford Tech Fellows are our current initiatives"".","https://www.nationalacademies.org/our-work/ford-foundation-fellowship-programs","Treat as discontinued; historic citizenship clause not quotable.","2026-09-07"
"UC San Diego application fee waiver","UC San Diego","USA","""Only United States citizens and permanent residents are eligible to apply for an application fee waiver""","https://scripps.ucsd.edu/doctoral/admissions/how-apply","Minor: he pays all US application fees.","2026-09-07"
"Vanier Canada Graduate Scholarships","Tri-agency CIHR/NSERC/SSHRC","Canada","Programme terminated. NSERC release: the Vanier CGS ""and the Banting Postdoctoral Fellowships ... as well as all current agency-specific postgraduate and postdoctoral award programs"" conclude after their final 2025 cycles. UBC: ""No future deadline; program discontinued"". U of T: ""Fall 2024 was the last competition for the Vanier CGS"".","https://nserc-crsng.canada.ca/en/news/launch-new-harmonized-tri-agency-scholarship-and-fellowship-programs","vanier.gc.ca returned HTTP 503 on every attempt - the old ""20 months"" clause could not be quoted. Successor = CGRS D (see Output 1).","2026-09-07"
"NSERC PGS-D / CGS-D (pre-2025)","NSERC","Canada","Terminated: ""all current agency-specific postgraduate and postdoctoral award programs"" conclude after 2025; old URLs redirect to CGRS D.","https://nserc-crsng.canada.ca/en/news/launch-new-harmonized-tri-agency-scholarship-and-fellowship-programs","The successor CGRS D is NOT citizen-only (15% international quota after registration).","2026-09-07"
"Pierre Elliott Trudeau Foundation Doctoral Scholarship","Pierre Elliott Trudeau Foundation","Canada","""Your field of study must be broadly related to the humanities or social sciences""; ""At the time of application, you must be in the first year of a PhD program; or in the second year of a PhD program.""","https://www.trudeaufoundation.ca/become-a-scholar/","Field- and stage-ineligible; citizenship is permissive (""An international student enrolled at a Canadian university"").","2026-09-07"
"CGRS Master's (CGRS M)","Tri-agency","Canada","International eligibility restricted to ""Canadian citizens, permanent residents, Protected Persons only"".","https://nserc-crsng.canada.ca/en/news/launch-new-harmonized-tri-agency-scholarship-and-fellowship-programs","Also a master's award - not wanted.","2026-09-07"
"Nova Scotia Graduate Scholarship - Doctoral","Province of Nova Scotia / Dalhousie","Canada","Status not verified: dedicated page HTTP 404 and absent from the Dalhousie doctoral-scholarships index.","https://www.dal.ca/faculty/gradstudies/finance-your-studies/scholarships-bursaries/doctoral-scholarships.html","Availability failure, not an eligibility exclusion.","2026-09-07"
"UBC International Doctoral Fellowship (IDF)","UBC","Canada","Page HTTP 404; superseded by the CAD 40,000 minimum funding policy and the 4YF.","https://www.grad.ubc.ca/awards/international-doctoral-fellowship-idf","Do not plan around it.","2026-09-07"
"PBEEE bilateral country streams (1B, 1C, 1I, 1W)","FRQ / Québec","Canada","Reserved for nationals of Brazil, China, India, Israel and Wallonia.","https://frq.gouv.qc.ca/programme/bourses-dexcellence-pour-etudiantes-etrangeres-et-etudiants-etrangers-pbeee-2027-2028/","He applies under open component V1 instead (Output 1).","2026-09-07"
"Commonwealth PhD Scholarships","Commonwealth Scholarship Commission / FCDO","UK","""Be a citizen of or have been granted refugee status by an eligible Commonwealth country, or be a British Protected Person"" and ""Be permanently resident in an eligible Commonwealth country"". Eligible countries: Bangladesh, The Gambia, Kiribati, Lesotho, Malawi, Mozambique, Nigeria, Pakistan, Rwanda, Sierra Leone, Solomon Islands, Sri Lanka, Tanzania, Togo, Tuvalu, Uganda, Zambia.","https://cscuk.fcdo.gov.uk/scholarships/commonwealth-phd-scholarships-for-least-developed-countries-and-fragile-states/","Germany is not a Commonwealth country.","2026-09-07"
"Commonwealth Split-site PhD Scholarships","CSC / FCDO","UK","""This programme is currently paused and will not be running in 2026 or 2027.""","https://cscuk.fcdo.gov.uk/about-us/scholarships-and-fellowships/","Plus the same citizenship bar.","2026-09-07"
"Marshall Scholarship","Marshall Aid Commemoration Commission","UK","""Be citizens of the United States of America (at the time they apply for a scholarship)""","https://www.marshallscholarship.org/apply/eligibility/","","2026-09-07"
"Rhodes Scholarship - Germany constituency","Rhodes Trust","UK","Citizenship passes (""You must be of German nationality"") but AGE fails: ""You must be aged 18-23 on 1st October 2026 ... OR ... You must be under the age of 27 on 1st October 2026 ... AND ... completed your first undergraduate degree on or after 1 October 2025"".","https://www.rhodeshouse.ox.ac.uk/media/1okp0aaj/germany-information-for-candidates-document-2027-final.pdf","Born ~1983/84 -> ineligible.","2026-09-07"
"CENTA Science Opportunity Scholarships (CSOS route)","NERC / CENTA3","UK","""Please note international students are not eligible to apply via this route.""","https://centa.ac.uk/apply/","Deadline 18 Oct 2026 - irrelevant.","2026-09-07"
"QUARTILES DLA - October 2026 entry","NERC/BBSRC","UK","As of 2026-09-07 applications for Oct 2026 entry are open to home-fee-eligible candidates only because the international quota (max 5 of 19) is already filled.","https://quartiles-dla.ac.uk/funding-eligibility/","Live illustration of the 30% cap; wait for the Oct 2027 round.","2026-09-07"
"INSPIRE NERC DTP (Southampton/NOC)","NERC","UK","""INSPIRE is no longer recruiting students - instead, please visit the website of the successor: IGNITE Doctoral Landscape Award""","https://inspire-dtp.ac.uk/inspire-front-page","Replaced by IGNITE (Output 1).","2026-09-07"
"UKRI fees-only awards","UKRI","UK","""Fees-only awards will no longer be an option.""","https://www.ukri.org/wp-content/uploads/2023/03/ESRC-020323-InternationalEligibilityImplementationGuidance-TrainingGrantHolders.pdf","Closed to everyone since AY 2021/22.","2026-09-07"
"Marine Research Plymouth Alliance PhD studentship","University of Plymouth","UK","Funds ""full Home tuition fees"" only; international applicants ""will have to cover the difference between Home and International fee rates"".","https://www.plymouth.ac.uk/research/institutes/marine-institute/funding-support-development-and-recognition/marine-research-plymouth-phd-studentship","Not fully funded for him (unlike SERVO).","2026-09-07"
"Hans-Böckler-Stiftung Promotionsstipendium","Hans-Böckler-Stiftung","Germany","""Die Altersgrenze liegt bei 40 Jahren.""","https://www.boeckler.de/de/stipendium-fur-promovierende-2670.htm","He is ~42.","2026-09-07"
"DBU Promotionsstipendium","Deutsche Bundesstiftung Umwelt","Germany","""Die Ablehnung eines Stipendienantrags schließt eine erneute Bewerbung aus."" (Förderleitlinien valid from 01.01.2025, section 1)","https://www.dbu.de/app/uploads/dbu-media-downloads-foerderleitlinien-dbu-stipendienprogramm-gueltig-ab01012025.pdf","He applied and was not awarded -> re-application formally excluded. Do not pursue.","2026-09-07"
"DAAD Jahresstipendien für Studienaufenthalte im Ausland","DAAD","Germany","Eligible are ""Studierende in einem Bachelor-, Master-, Diplom- oder Staatsexamensstudiengang"" for ""ein Studienjahr im Ausland"".","https://www2.daad.de/ausland/studieren/stipendium/de/70-stipendien-finden-und-bewerben/?detail=57503530","Not for doctoral candidates; not a degree. No DAAD programme funds a full foreign PhD for a German.","2026-09-07"
"MSCA Doctoral Network posts hosted in GERMANY","European Commission / REA","EU","""they must not have resided or carried out their main activity (work, studies, etc.) in the country of the recruiting beneficiary for more than 12 months in the 36 months immediately before their recruitment date."" Example advert (Amsterdam UMC/POLARIS German node): ""must not have resided or carried out your main activity (work, studies, etc.) in Germany for more than 12 months in the three years prior to the contract start date.""","https://ec.europa.eu/info/funding-tenders/opportunities/docs/2021-2027/horizon/wp-call/2026-2027/wp-2-marie-sklodowska-curie-actions_horizon-2026-2027_en.pdf","Resident in Bremen -> German-hosted MSCA-DN nodes closed; every non-German node open.","2026-09-07"
"KAS Ausländerförderung (inbound programme)","Konrad-Adenauer-Stiftung","Germany","Programme for ""internationale Studierende und Promovierende aus Nicht-EU-Ländern"" - a German citizen uses the domestic Promotionsförderung instead.","https://www.kas.de/en/web/begabtenfoerderung-und-kultur/promotionsfoerderung","Not an exclusion, a wrong door.","2026-09-07"
"Aarhus University 4+4 scheme, Part A","Aarhus University","Denmark","Part A pays ""2 SU vouchers = DKK 14,172 per month before tax"" and is a combined master's-and-PhD route.","https://phd.arts.au.dk/applicants/scholarshipfellowshipsalary","Trap, not exclusion: enter via 5+3 with the completed M.Sc.","2026-09-07"
"POGO-SCOR Fellowship Programme","POGO / SCOR","International","""Applicants must also be citizens of developing countries or economies in transition, as defined by the Development Assistance Committee (DAC) of the OECD.""","https://pogo-ocean.org/capacity-development/pogo-scor-fellowship-programme/","Also not a PhD: 1-3 month visit, max EUR 5,000.","2026-09-07"
"Nippon Foundation-POGO Centre of Excellence","Nippon Foundation / POGO (hosted by OFI Canada)","International","""Priority is given to young researchers near the outset of their careers from emerging and developing countries."" ""A 10-month programme of study delivered annually to 10 students"" - ""neither a PhD programme nor a short course"".","https://pogo-ocean.org/capacity-development/centre-of-excellence/","Not PhD funding.","2026-09-07"
"IOC-UNESCO (OceanTeacher Global Academy etc.)","IOC-UNESCO","International","Training only; page contains ""no information about fellowships, grants, or financial support"". No doctoral funding found on any IOC page opened.","https://www.ioc.unesco.org/en/ocean-teacher-global-academy","Verified negative.","2026-09-07"
"SCAR Fellowship Programme (as a route INTO a PhD)","SCAR","International","""Current PhD researcher or within 5 years of finishing PhD; Visiting an Antarctic research facility ... different from applicant's (a) country of origin and (b) current country of residence""","https://scar.org/fellowships-awards/fellowships/information","USD 15,000 visit grant; usable only once enrolled. 2026 deadline 4 Sep passed.","2026-09-07"
"NIWA / Earth Sciences NZ Masters and undergraduate scholarships","NIWA / Earth Sciences New Zealand","New Zealand","Eligibility requires the applicant ""be a New Zealand citizen or permanent resident""; and the scheme is Masters/undergraduate only.","https://niwa.co.nz/about-niwa/scholarships","He wants a PhD only.","2026-09-07"
"New Zealand International Doctoral Research Scholarship (NZIDRS)","Education New Zealand","New Zealand","""This scholarship is not currently being offered."" (University of Auckland FAQ); last round 2017.","https://uoa.custhelp.com/app/answers/detail/a_id/8979/~/apply-for-a-new-zealand-international-doctoral-research-scholarship-%28nzidrs%29","No national portable scholarship for internationals exists in NZ.","2026-09-07"
"FWO PhD Fellowship fundamental research (Belgium) - PROBABLE exclusion","FWO (Flanders)","Belgium","""You may have a maximum of 18 months of scientific seniority on 1 March 2026."" ""The time span between your Master's degree or equivalent and 01 March 2026 may not be longer than three years.""","https://www.fwo.be/en/support-programmes/all-calls/phd/phd-fellowship-fundamental-research/","Listed as warning: 2016-18 Bochum enrolment likely breaks the 18-month cap; which master's starts the 3-year clock is not stated. Get it in writing (also in Output 1 as UNCLEAR).","2026-09-07"
"CSIRO postgraduate top-up / fully funded scholarships (incl. CSIRO Hobart, Environment)","CSIRO","Australia","""Recipients of postgraduate scholarships are generally required to be Australian Citizens or hold Permanent Residency status."" Exception only ""in fields in which there is a national skill shortage"".","https://www.csiro.au/en/careers/scholarships-student-opportunities/postgraduate-programs-and-scholarships/postgrads","Effectively closed; only ever a top-up on an RTP/TGRS. CSIRO Industry PhD page returns 404 - not verified.","2026-09-07"
"UNSW Scientia PhD Scholarship","UNSW","Australia","Could not be verified: both URLs return HTTP 404 and the scheme is absent from the UNSW HDR scholarship table. Only an ""International Scientia Coursework Scholarship"" exists (""commencing full-time study in a UNSW undergraduate or postgraduate coursework degree program"").","https://www.scholarships.unsw.edu.au/scholarships/id/1988","Do not plan around it; confirm with international.grs@unsw.edu.au.","2026-09-07"
"Australian Government Indigenous RTP Scholarship (the AUD 53,608 / 55,537 maximum-rate awards)","Australian Government","Australia","""Must meet the Australian Government's definition of Aboriginality""","https://www.utas.edu.au/research/degrees/scholarships-and-fees","","2026-09-07"
"UTAS-China Scholarship Council Joint Scholarship; UNSW-CSC; UNSW Vingroup; Australia Awards","CSC / UNSW / VinUniversity / DFAT","Australia","UTAS-CSC: ""students from the People's Republic of China (PRC)""; UNSW-CSC: ""Chinese citizens""; Vingroup: ""Vietnamese citizens""; Australia Awards: ""people from developing countries, particularly ... the Indo-Pacific region"".","https://www.unsw.edu.au/research/hdr/scholarships","Nationality-restricted.","2026-09-07"
"UTAS donor scholarships (Westpac Future Leaders; Dr Joan Woodberry; Merle W Weaver; Cuthbertson Elite)","UTAS / donors","Australia","Westpac: ""Domestic applications""; Woodberry: ""Is an Australian Citizen"" (and female); Weaver: ""Is a citizen of a South-East Asian or Pacific area country""; Cuthbertson: restricted to ""agricultural, horticultural, aquaculture or silviculture"".","https://www.utas.edu.au/research/degrees/scholarships-and-fees","","2026-09-07"
"JCU Singapore Postgraduate Research Scholarship","JCU","Australia","""Must have a Primary Advisor based at JCUS and be based in Singapore for at least the first year of candidature.""","https://www.jcu.edu.au/graduate-research-school/hdr-candidates/postgraduate-research-scholarships/hdr-scholarships-for-international-candidates","","2026-09-07"
